country,hosts_with_nonstandard_ports,total_hosts,proportion_nonstandard,pct_http,pct_https,pct_ssh,pct_ftp,pct_telnet,pct_smtp,pct_imap,pct_pop3,pct_dns,pct_mysql,pct_rdp,pct_mongodb,pct_redis,pct_postgresql,pct_vnc
Czech Republic,5345,10000,0.5345,0.79726834493840382,,0.071772897696839852,0.0060257096946973758,0.0031467595072308518,0.055101767541510444,0.023567220139260846,0.017139796464916979,,0.0016068559185859668,0.016604177825388325,,0.0001339046598821639,,0.0076325656132833425
Uruguay,5270,10000,0.527,0.834915714008913,,0.008041077310598721,0.00067816314667700059,0.0184072854098043,0.0088161209068010078,0.0046502615772137179,0.0036814570819608604,,0.10656849447781437,0.011431893043983725,,,,0.002809533036233288
South Africa,5267,10000,0.5267,0.94338606529787949,,0.022214742510939078,0.0026926960619320095,0.0024907438572871086,0.012386401884887243,0.006327835745540222,0.0047795355099293163,,0.00047122181083810165,0.0043756311006395154,0.00013463480309660046,0.00026926960619320093,,0.00047122181083810165
Romania,5230,10000,0.523,0.86082202608352,,0.026182321169806351,0.00085627717033328937,0.00088921090765380051,0.062541167171650633,0.026281122381767882,0.019167435120537479,,0.00036227111052562246,0.0020089579765511789,,3.2933737320511129e-05,,0.00085627717033328937
Botswana,5217,10000,0.5217,0.68709570409686516,,0.20127716039144136,8.29324929507381e-05,0.01608890363244319,0.010781224083595952,0.0034831647039310003,0.0028197047603250956,8.29324929507381e-05,0.0004146624647536905,0.0777077458948416,8.29324929507381e-05,,,8.29324929507381e-05
Ukraine,5211,10000,0.5211,0.75121208704476261,,0.091272973277708877,0.0019731649565903711,0.0032134400721614614,0.033036418987484495,0.01725109933476153,0.015390686661404893,,0.0010147705491036193,0.077178937873491935,,5.6376141616867739e-05,,0.0084000451009132934
China,5191,10000,0.5191,0.95037546187770672,,0.026341928562914698,0.0026620048472327071,0.0032182446660574517,0.0015097937939528786,0.00039731415630338908,0.00039731415630338908,3.9731415630338912e-05,0.0041717986411855855,0.0062378322539632085,0.0003178513250427113,0.0021057650284079621,,0.0022249592752989788
Norway,5177,10000,0.5177,0.94199465036301111,,0.022239205196790218,0.0030569354222392052,0.0022927015666794038,0.014673290026748186,0.0047382499044707682,0.0038211692777990066,,0.0003056935422239205,0.0022927015666794038,,,,0.0045854031333588076
North Korea,30,58,0.51724137931034486,0.91044776119402981,,0.059701492537313432,,,0.029850746268656716,,,,,,,,,
Libya,5167,10000,0.5167,0.89957902122434663,,0.064023855463953686,0.0011401508507279424,0.008945798982634626,0.011489212418873882,0.0057007542536397122,0.005437642518856341,,0.00043851955797228557,0.0026311173478337133,,0.00035081564637782847,,0.00026311173478337136
Qatar,5155,10000,0.5155,0.987740398582302,,0.0060426471442682006,0.0001743071291615827,0.00098774039858230212,0.0016268665388414385,0.00069722851664633079,0.00040671663471035963,,5.8102376387194239e-05,0.0016268665388414385,,0.00040671663471035963,,0.00023240950554877696
